legacy_url	new_url	anchor	page	duplicate
https://docs.arcadedb.com/#vector-sparsetodense-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-sparsetodense-ext	vector-sparsetodense-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-sparsity	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-sparsity	vector-sparsity	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-sparsity-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-sparsity-ext	vector-sparsity-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-std-dev	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-std-dev	vector-std-dev	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-stddev-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-stddev-ext	vector-stddev-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-subtract	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-subtract	vector-subtract	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-subtract-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-subtract-ext	vector-subtract-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-sum	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-sum	vector-sum	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-sum-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-sum-ext	vector-sum-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-to-string	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-to-string	vector-to-string	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-tostring-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-tostring-ext	vector-tostring-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#vector-variance	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#vector-variance	vector-variance	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#vector-variance-ext	https://docs.arcadedb.com/arcadedb/reference/extended-functions.html#vector-variance-ext	vector-variance-ext	reference/extended-functions.adoc	0
https://docs.arcadedb.com/#version	https://docs.arcadedb.com/arcadedb/reference/sql/sql-functions.html#version	version	reference/sql/sql-functions.adoc	0
https://docs.arcadedb.com/#wal-flush-durability	https://docs.arcadedb.com/arcadedb/concepts/transactions.html#wal-flush-durability	wal-flush-durability	concepts/transactions.adoc	0
https://docs.arcadedb.com/#websocket-streaming	https://docs.arcadedb.com/arcadedb/reference/http-api/http.html#websocket-streaming	websocket-streaming	reference/http-api/http.adoc	0
https://docs.arcadedb.com/#what-is-arcadedb	https://docs.arcadedb.com/arcadedb/tutorials/what-is-arcadedb.html	what-is-arcadedb	tutorials/what-is-arcadedb.adoc	0
